행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체),,,,,,,,,,,
1101053,종로구,사직동,01,20,221 ,49 ,6 ,7 ,4 ,6 ,7 ,5 ,6 ,3 ,5 ,2 ,,,,,,,,,,,
1101053,종로구,사직동,01,25,321 ,109 ,13 ,13 ,8 ,10 ,2 ,11 ,9 ,18 ,17 ,5 ,,,,,,,,,,,
1101053,종로구,사직동,01,30,351 ,113 ,18 ,17 ,13 ,17 ,15 ,18 ,16 ,13 ,13 ,8 ,,,,,,,,,,,
1101053,종로구,사직동,01,35,353 ,105 ,17 ,12 ,7 ,12 ,15 ,14 ,16 ,12 ,7 ,18 ,,,,,,,,,,,
1101053,종로구,사직동,01,40,420 ,81 ,19 ,9 ,10 ,9 ,18 ,10 ,12 ,6 ,10 ,14 ,,,,,,,,,,,
1101053,종로구,사직동,01,45,352 ,75 ,15 ,11 ,5 ,8 ,9 ,9 ,10 ,7 ,8 ,13 ,,,,,,,,,,,
1101053,종로구,사직동,01,50,323 ,51 ,7 ,4 ,4 ,5 ,8 ,3 ,7 ,4 ,7 ,10 ,,,,,,,,,,,
1101053,종로구,사직동,01,55,351 ,49 ,8 ,4 ,4 ,4 ,11 ,3 ,5 ,7 ,5 ,11 ,,,,,,,,,,,
1101053,종로구,사직동,01,60,245 ,42 ,5 ,3 ,6 ,4 ,7 ,2 ,5 ,4 ,1 ,7 ,,,,,,,,,,,
1101053,종로구,사직동,01,65,180 ,32 ,2 ,1 ,6 ,2 ,5 ,1 ,2 ,1 ,4 ,1 ,,,,,,,,,,,
1101053,종로구,사직동,01,70,173 ,31 ,3 ,3 ,1 ,2 ,3 ,0 ,2 ,1 ,2 ,4 ,,,,,,,,,,,
1101053,종로구,사직동,01,75,289 ,79 ,4 ,1 ,6 ,2 ,3 ,1 ,4 ,1 ,5 ,4 ,,,,,,,,,,,
1101053,종로구,사직동,02,20,362 ,120 ,12 ,15 ,10 ,14 ,8 ,6 ,10 ,3 ,1 ,8 ,,,,,,,,,,,
1101053,종로구,사직동,02,25,365 ,128 ,9 ,10 ,7 ,14 ,7 ,12 ,9 ,11 ,13 ,5 ,,,,,,,,,,,
1101053,종로구,사직동,02,30,428 ,140 ,14 ,13 ,11 ,14 ,6 ,18 ,13 ,13 ,10 ,10 ,,,,,,,,,,,
1101053,종로구,사직동,02,35,405 ,103 ,9 ,12 ,3 ,12 ,5 ,13 ,8 ,6 ,5 ,6 ,,,,,,,,,,,
1101053,종로구,사직동,02,40,412 ,89 ,6 ,10 ,6 ,9 ,5 ,7 ,9 ,9 ,9 ,5 ,,,,,,,,,,,
1101053,종로구,사직동,02,45,420 ,99 ,10 ,17 ,7 ,13 ,18 ,6 ,14 ,12 ,6 ,11 ,,,,,,,,,,,
1101053,종로구,사직동,02,50,389 ,62 ,6 ,8 ,3 ,7 ,13 ,3 ,8 ,4 ,7 ,9 ,,,,,,,,,,,
1101053,종로구,사직동,02,55,377 ,64 ,5 ,8 ,4 ,8 ,9 ,2 ,7 ,5 ,3 ,3 ,,,,,,,,,,,
1101053,종로구,사직동,02,60,288 ,53 ,3 ,8 ,3 ,9 ,9 ,1 ,6 ,8 ,3 ,8 ,,,,,,,,,,,
1101053,종로구,사직동,02,65,248 ,44 ,4 ,4 ,4 ,3 ,7 ,1 ,3 ,4 ,5 ,3 ,,,,,,,,,,,
1101053,종로구,사직동,02,70,223 ,48 ,5 ,8 ,0 ,8 ,6 ,0 ,6 ,7 ,2 ,16 ,,,,,,,,,,,
1101053,종로구,사직동,02,75,355 ,116 ,3 ,4 ,3 ,6 ,16 ,0 ,4 ,9 ,9 ,6 ,,,,,,,,,,,
1101054,종로구,삼청동,01,20,83 ,40 ,4 ,19 ,9 ,13 ,5 ,1 ,12 ,2 ,4 ,1 ,,,,,,,,,,,
1101054,종로구,삼청동,01,25,80 ,39 ,6 ,10 ,4 ,6 ,3 ,3 ,5 ,3 ,3 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,01,30,100 ,51 ,5 ,7 ,7 ,5 ,0 ,6 ,3 ,7 ,12 ,0 ,,,,,,,,,,,
