행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체)
1101053,종로구,사직동,01,20,220 ,70 ,9 ,7 ,12 ,5 ,3 ,3 ,8 ,4 ,4 ,0 
1101053,종로구,사직동,01,25,321 ,114 ,12 ,11 ,10 ,12 ,7 ,10 ,10 ,17 ,13 ,4 
1101053,종로구,사직동,01,30,351 ,104 ,16 ,14 ,7 ,13 ,7 ,17 ,12 ,15 ,10 ,9 
1101053,종로구,사직동,01,35,358 ,91 ,14 ,13 ,6 ,14 ,14 ,15 ,14 ,8 ,8 ,25 
1101053,종로구,사직동,01,40,420 ,78 ,17 ,9 ,9 ,9 ,22 ,10 ,13 ,6 ,7 ,18 
1101053,종로구,사직동,01,45,356 ,72 ,14 ,9 ,6 ,10 ,14 ,6 ,12 ,7 ,4 ,13 
1101053,종로구,사직동,01,50,325 ,46 ,7 ,6 ,3 ,5 ,8 ,3 ,6 ,4 ,6 ,8 
1101053,종로구,사직동,01,55,353 ,45 ,6 ,5 ,3 ,5 ,19 ,3 ,6 ,4 ,4 ,16 
1101053,종로구,사직동,01,60,247 ,38 ,5 ,4 ,4 ,4 ,13 ,2 ,4 ,2 ,2 ,9 
1101053,종로구,사직동,01,65,180 ,31 ,2 ,1 ,6 ,1 ,6 ,1 ,2 ,1 ,5 ,2 
1101053,종로구,사직동,01,70,166 ,29 ,2 ,2 ,0 ,2 ,4 ,0 ,3 ,1 ,2 ,1 
1101053,종로구,사직동,01,75,296 ,84 ,6 ,6 ,9 ,8 ,3 ,1 ,9 ,2 ,9 ,3 
1101053,종로구,사직동,02,20,365 ,97 ,10 ,8 ,5 ,3 ,0 ,6 ,4 ,2 ,1 ,0 
1101053,종로구,사직동,02,25,365 ,130 ,6 ,9 ,9 ,16 ,6 ,13 ,9 ,13 ,12 ,6 
1101053,종로구,사직동,02,30,428 ,138 ,12 ,13 ,10 ,13 ,10 ,16 ,12 ,9 ,8 ,8 
1101053,종로구,사직동,02,35,408 ,105 ,8 ,11 ,5 ,9 ,10 ,13 ,9 ,5 ,5 ,7 
1101053,종로구,사직동,02,40,413 ,83 ,6 ,7 ,5 ,5 ,1 ,6 ,6 ,8 ,8 ,4 
1101053,종로구,사직동,02,45,420 ,98 ,10 ,16 ,7 ,10 ,12 ,6 ,12 ,10 ,5 ,9 
1101053,종로구,사직동,02,50,391 ,52 ,6 ,6 ,3 ,6 ,16 ,3 ,6 ,3 ,6 ,17 
1101053,종로구,사직동,02,55,381 ,54 ,5 ,5 ,2 ,5 ,3 ,2 ,5 ,6 ,4 ,2 
1101053,종로구,사직동,02,60,288 ,52 ,4 ,7 ,4 ,6 ,4 ,1 ,6 ,4 ,3 ,5 
1101053,종로구,사직동,02,65,248 ,43 ,3 ,5 ,3 ,5 ,7 ,1 ,4 ,3 ,4 ,6 
1101053,종로구,사직동,02,70,218 ,43 ,5 ,4 ,0 ,7 ,12 ,0 ,6 ,3 ,2 ,10 
