행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체),,,,,,,,,,,
1101053,종로구,사직동,01,20,221 ,54 ,9 ,4 ,5 ,4 ,5 ,5 ,9 ,4 ,4 ,0 ,,,,,,,,,,,
1101053,종로구,사직동,01,25,321 ,110 ,12 ,12 ,17 ,11 ,0 ,12 ,10 ,14 ,13 ,12 ,,,,,,,,,,,
1101053,종로구,사직동,01,30,350 ,104 ,17 ,14 ,9 ,17 ,14 ,21 ,16 ,16 ,13 ,8 ,,,,,,,,,,,
1101053,종로구,사직동,01,35,353 ,106 ,20 ,14 ,9 ,16 ,10 ,15 ,19 ,11 ,10 ,20 ,,,,,,,,,,,
1101053,종로구,사직동,01,40,420 ,75 ,17 ,9 ,7 ,10 ,22 ,12 ,11 ,5 ,8 ,16 ,,,,,,,,,,,
1101053,종로구,사직동,01,45,352 ,71 ,15 ,10 ,6 ,9 ,13 ,9 ,11 ,8 ,5 ,12 ,,,,,,,,,,,
1101053,종로구,사직동,01,50,323 ,49 ,8 ,5 ,4 ,5 ,8 ,4 ,6 ,4 ,6 ,8 ,,,,,,,,,,,
1101053,종로구,사직동,01,55,351 ,45 ,8 ,5 ,3 ,5 ,11 ,3 ,6 ,3 ,4 ,11 ,,,,,,,,,,,
1101053,종로구,사직동,01,60,245 ,40 ,5 ,5 ,5 ,4 ,4 ,2 ,4 ,2 ,1 ,9 ,,,,,,,,,,,
1101053,종로구,사직동,01,65,181 ,33 ,2 ,2 ,7 ,2 ,3 ,1 ,1 ,1 ,5 ,2 ,,,,,,,,,,,
1101053,종로구,사직동,01,70,168 ,30 ,2 ,4 ,1 ,2 ,4 ,0 ,3 ,2 ,2 ,6 ,,,,,,,,,,,
1101053,종로구,사직동,01,75,294 ,84 ,3 ,3 ,6 ,2 ,3 ,1 ,3 ,1 ,7 ,9 ,,,,,,,,,,,
1101053,종로구,사직동,02,20,362 ,117 ,12 ,11 ,11 ,11 ,3 ,8 ,8 ,4 ,3 ,5 ,,,,,,,,,,,
1101053,종로구,사직동,02,25,365 ,128 ,11 ,10 ,7 ,15 ,11 ,14 ,10 ,11 ,11 ,7 ,,,,,,,,,,,
1101053,종로구,사직동,02,30,428 ,134 ,15 ,10 ,10 ,12 ,8 ,21 ,13 ,13 ,8 ,8 ,,,,,,,,,,,
1101053,종로구,사직동,02,35,405 ,100 ,8 ,13 ,4 ,13 ,6 ,14 ,12 ,6 ,5 ,5 ,,,,,,,,,,,
1101053,종로구,사직동,02,40,411 ,85 ,7 ,8 ,6 ,9 ,5 ,7 ,7 ,10 ,8 ,7 ,,,,,,,,,,,
1101053,종로구,사직동,02,45,420 ,95 ,10 ,19 ,5 ,12 ,14 ,6 ,13 ,10 ,6 ,12 ,,,,,,,,,,,
1101053,종로구,사직동,02,50,389 ,59 ,5 ,8 ,3 ,6 ,14 ,3 ,7 ,5 ,7 ,13 ,,,,,,,,,,,
1101053,종로구,사직동,02,55,378 ,52 ,4 ,7 ,4 ,5 ,5 ,2 ,5 ,7 ,4 ,7 ,,,,,,,,,,,
1101053,종로구,사직동,02,60,288 ,51 ,4 ,8 ,4 ,8 ,5 ,2 ,6 ,5 ,3 ,7 ,,,,,,,,,,,
1101053,종로구,사직동,02,65,247 ,49 ,5 ,6 ,3 ,5 ,6 ,1 ,4 ,4 ,8 ,4 ,,,,,,,,,,,
1101053,종로구,사직동,02,70,220 ,45 ,6 ,6 ,0 ,8 ,8 ,0 ,5 ,5 ,1 ,10 ,,,,,,,,,,,
1101053,종로구,사직동,02,75,358 ,121 ,2 ,5 ,3 ,7 ,16 ,0 ,4 ,9 ,10 ,11 ,,,,,,,,,,,
1101054,종로구,삼청동,01,20,89 ,42 ,5 ,14 ,6 ,14 ,1 ,2 ,24 ,1 ,5 ,2 ,,,,,,,,,,,
1101054,종로구,삼청동,01,25,80 ,38 ,7 ,5 ,3 ,3 ,0 ,3 ,5 ,3 ,7 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,01,30,100 ,51 ,3 ,3 ,8 ,5 ,0 ,6 ,5 ,5 ,5 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,01,35,99 ,46 ,6 ,3 ,14 ,5 ,6 ,9 ,3 ,3 ,0 ,6 ,,,,,,,,,,,
1101054,종로구,삼청동,01,40,102 ,32 ,6 ,5 ,2 ,2 ,0 ,3 ,3 ,5 ,0 ,3 ,,,,,,,,,,,
1101054,종로구,삼청동,01,45,110 ,33 ,4 ,1 ,3 ,1 ,0 ,3 ,3 ,4 ,3 ,4 ,,,,,,,,,,,
1101054,종로구,삼청동,01,50,110 ,31 ,9 ,8 ,2 ,7 ,12 ,1 ,8 ,2 ,3 ,9 ,,,,,,,,,,,
1101054,종로구,삼청동,01,55,113 ,28 ,4 ,3 ,2 ,2 ,0 ,1 ,2 ,6 ,2 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,01,60,84 ,20 ,1 ,2 ,2 ,2 ,0 ,1 ,2 ,3 ,1 ,2 ,,,,,,,,,,,
1101054,종로구,삼청동,01,65,77 ,18 ,1 ,1 ,1 ,2 ,3 ,0 ,2 ,1 ,3 ,3 ,,,,,,,,,,,
1101054,종로구,삼청동,01,70,69 ,18 ,4 ,1 ,0 ,3 ,5 ,0 ,3 ,2 ,2 ,3 ,,,,,,,,,,,
1101054,종로구,삼청동,01,75,78 ,26 ,0 ,2 ,2 ,0 ,5 ,0 ,1 ,0 ,0 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,02,20,60 ,29 ,0 ,3 ,0 ,4 ,0 ,1 ,4 ,0 ,0 ,7 ,,,,,,,,,,,
