행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체),,,,,,,,,,,
1101053,종로구,사직동,01,20,221 ,55 ,12 ,5 ,4 ,4 ,5 ,5 ,9 ,2 ,4 ,0 ,,,,,,,,,,,
1101053,종로구,사직동,01,25,321 ,112 ,11 ,10 ,12 ,13 ,2 ,12 ,11 ,13 ,12 ,9 ,,,,,,,,,,,
1101053,종로구,사직동,01,30,349 ,117 ,20 ,17 ,9 ,19 ,14 ,20 ,19 ,17 ,14 ,12 ,,,,,,,,,,,
1101053,종로구,사직동,01,35,353 ,107 ,18 ,17 ,6 ,17 ,12 ,14 ,18 ,12 ,6 ,23 ,,,,,,,,,,,
1101053,종로구,사직동,01,40,418 ,101 ,22 ,13 ,11 ,12 ,15 ,12 ,15 ,8 ,10 ,13 ,,,,,,,,,,,
1101053,종로구,사직동,01,45,352 ,70 ,16 ,9 ,5 ,11 ,16 ,8 ,13 ,8 ,5 ,12 ,,,,,,,,,,,
1101053,종로구,사직동,01,50,324 ,45 ,7 ,6 ,4 ,5 ,9 ,4 ,7 ,4 ,5 ,7 ,,,,,,,,,,,
1101053,종로구,사직동,01,55,350 ,55 ,9 ,7 ,4 ,6 ,14 ,3 ,8 ,4 ,5 ,9 ,,,,,,,,,,,
1101053,종로구,사직동,01,60,245 ,40 ,6 ,4 ,5 ,4 ,9 ,2 ,5 ,2 ,1 ,10 ,,,,,,,,,,,
1101053,종로구,사직동,01,65,180 ,30 ,2 ,2 ,6 ,2 ,4 ,1 ,1 ,1 ,5 ,2 ,,,,,,,,,,,
1101053,종로구,사직동,01,70,166 ,25 ,2 ,3 ,1 ,2 ,1 ,0 ,3 ,2 ,2 ,4 ,,,,,,,,,,,
1101053,종로구,사직동,01,75,297 ,83 ,4 ,2 ,6 ,2 ,4 ,1 ,2 ,0 ,7 ,9 ,,,,,,,,,,,
1101053,종로구,사직동,02,20,362 ,119 ,17 ,15 ,6 ,9 ,0 ,8 ,8 ,3 ,2 ,5 ,,,,,,,,,,,
1101053,종로구,사직동,02,25,365 ,129 ,9 ,9 ,7 ,14 ,5 ,14 ,10 ,14 ,12 ,5 ,,,,,,,,,,,
1101053,종로구,사직동,02,30,428 ,140 ,15 ,15 ,8 ,13 ,8 ,21 ,13 ,12 ,10 ,12 ,,,,,,,,,,,
1101053,종로구,사직동,02,35,405 ,104 ,8 ,14 ,2 ,14 ,8 ,13 ,12 ,5 ,5 ,7 ,,,,,,,,,,,
1101053,종로구,사직동,02,40,412 ,83 ,7 ,8 ,4 ,7 ,0 ,7 ,6 ,8 ,9 ,5 ,,,,,,,,,,,
1101053,종로구,사직동,02,45,420 ,98 ,12 ,19 ,4 ,14 ,11 ,6 ,14 ,12 ,5 ,11 ,,,,,,,,,,,
1101053,종로구,사직동,02,50,389 ,59 ,6 ,7 ,3 ,7 ,17 ,3 ,8 ,5 ,6 ,13 ,,,,,,,,,,,
1101053,종로구,사직동,02,55,378 ,56 ,4 ,5 ,3 ,6 ,2 ,2 ,5 ,6 ,4 ,5 ,,,,,,,,,,,
1101053,종로구,사직동,02,60,289 ,46 ,4 ,6 ,4 ,7 ,7 ,1 ,5 ,4 ,2 ,5 ,,,,,,,,,,,
1101053,종로구,사직동,02,65,247 ,49 ,4 ,5 ,4 ,5 ,6 ,1 ,4 ,4 ,7 ,6 ,,,,,,,,,,,
1101053,종로구,사직동,02,70,218 ,43 ,6 ,8 ,0 ,7 ,10 ,0 ,6 ,4 ,2 ,10 ,,,,,,,,,,,
1101053,종로구,사직동,02,75,360 ,120 ,2 ,5 ,4 ,4 ,16 ,0 ,4 ,8 ,9 ,15 ,,,,,,,,,,,
1101054,종로구,삼청동,01,20,101 ,51 ,4 ,14 ,7 ,8 ,0 ,2 ,21 ,1 ,4 ,1 ,,,,,,,,,,,
1101054,종로구,삼청동,01,25,80 ,37 ,4 ,4 ,2 ,4 ,0 ,3 ,4 ,4 ,4 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,01,30,100 ,52 ,3 ,2 ,13 ,3 ,0 ,7 ,3 ,10 ,5 ,0 ,,,,,,,,,,,
