행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체)
1101053,종로구,사직동,01,20,220 ,74 ,12 ,6 ,10 ,7 ,0 ,6 ,12 ,4 ,5 ,0 
1101053,종로구,사직동,01,25,327 ,93 ,7 ,7 ,9 ,8 ,5 ,11 ,8 ,11 ,8 ,5 
1101053,종로구,사직동,01,30,353 ,107 ,15 ,16 ,7 ,14 ,8 ,20 ,14 ,15 ,10 ,6 
1101053,종로구,사직동,01,35,360 ,88 ,15 ,12 ,7 ,15 ,20 ,17 ,14 ,8 ,9 ,27 
1101053,종로구,사직동,01,40,427 ,79 ,16 ,9 ,10 ,8 ,24 ,12 ,12 ,8 ,8 ,16 
1101053,종로구,사직동,01,45,359 ,72 ,12 ,7 ,8 ,8 ,13 ,9 ,9 ,8 ,5 ,11 
1101053,종로구,사직동,01,50,325 ,46 ,7 ,5 ,4 ,4 ,8 ,4 ,5 ,4 ,6 ,6 
1101053,종로구,사직동,01,55,352 ,45 ,7 ,6 ,2 ,6 ,23 ,3 ,6 ,4 ,3 ,17 
1101053,종로구,사직동,01,60,249 ,39 ,4 ,4 ,4 ,4 ,12 ,2 ,4 ,2 ,2 ,10 
1101053,종로구,사직동,01,65,181 ,39 ,4 ,1 ,7 ,2 ,3 ,1 ,3 ,1 ,6 ,2 
1101053,종로구,사직동,01,70,165 ,30 ,3 ,1 ,1 ,3 ,8 ,0 ,3 ,1 ,1 ,3 
1101053,종로구,사직동,01,75,298 ,81 ,7 ,5 ,8 ,8 ,3 ,1 ,9 ,2 ,10 ,5 
1101053,종로구,사직동,02,20,365 ,85 ,8 ,4 ,5 ,5 ,0 ,9 ,5 ,3 ,3 ,0 
1101053,종로구,사직동,02,25,365 ,117 ,7 ,9 ,8 ,13 ,5 ,16 ,9 ,11 ,11 ,4 
1101053,종로구,사직동,02,30,431 ,111 ,11 ,12 ,10 ,12 ,15 ,19 ,11 ,7 ,6 ,15 
1101053,종로구,사직동,02,35,409 ,138 ,10 ,13 ,3 ,14 ,7 ,15 ,11 ,6 ,7 ,7 
1101053,종로구,사직동,02,40,415 ,87 ,5 ,5 ,4 ,5 ,3 ,7 ,5 ,9 ,7 ,3 
1101053,종로구,사직동,02,45,426 ,80 ,8 ,11 ,5 ,8 ,8 ,7 ,10 ,8 ,4 ,8 
1101053,종로구,사직동,02,50,391 ,52 ,5 ,5 ,2 ,6 ,15 ,3 ,6 ,4 ,6 ,12 
1101053,종로구,사직동,02,55,383 ,52 ,4 ,5 ,2 ,5 ,7 ,2 ,6 ,5 ,3 ,3 
1101053,종로구,사직동,02,60,292 ,53 ,4 ,6 ,5 ,6 ,7 ,1 ,6 ,3 ,3 ,5 
1101053,종로구,사직동,02,65,249 ,43 ,2 ,4 ,4 ,4 ,6 ,1 ,4 ,3 ,6 ,7 
1101053,종로구,사직동,02,70,227 ,35 ,3 ,3 ,0 ,5 ,8 ,0 ,5 ,3 ,2 ,8 
1101053,종로구,사직동,02,75,351 ,115 ,14 ,6 ,5 ,11 ,5 ,1 ,13 ,8 ,14 ,3 
1101054,종로구,삼청동,01,20,116 ,108 ,13 ,29 ,19 ,31 ,6 ,2 ,44 ,3 ,5 ,2 
1101054,종로구,삼청동,01,25,83 ,40 ,4 ,6 ,4 ,6 ,0 ,3 ,9 ,2 ,4 ,0 
1101054,종로구,삼청동,01,30,111 ,60 ,9 ,8 ,9 ,6 ,0 ,5 ,6 ,11 ,9 ,0 
1101054,종로구,삼청동,01,35,103 ,38 ,1 ,3 ,9 ,3 ,0 ,8 ,3 ,1 ,0 ,0 
1101054,종로구,삼청동,01,40,105 ,30 ,5 ,3 ,3 ,4 ,5 ,3 ,3 ,2 ,1 ,8 
1101054,종로구,삼청동,01,45,118 ,34 ,5 ,1 ,4 ,1 ,0 ,4 ,3 ,1 ,4 ,0 
1101054,종로구,삼청동,01,50,115 ,30 ,10 ,8 ,2 ,8 ,19 ,1 ,9 ,1 ,4 ,11 
1101054,종로구,삼청동,01,55,119 ,22 ,5 ,3 ,1 ,2 ,5 ,1 ,1 ,3 ,1 ,5 
1101054,종로구,삼청동,01,60,89 ,19 ,3 ,3 ,2 ,2 ,0 ,1 ,2 ,2 ,1 ,0 
1101054,종로구,삼청동,01,65,77 ,19 ,1 ,1 ,1 ,1 ,3 ,0 ,2 ,0 ,5 ,0 
1101054,종로구,삼청동,01,70,74 ,16 ,3 ,2 ,0 ,1 ,6 ,0 ,2 ,0 ,0 ,2 
1101054,종로구,삼청동,01,75,80 ,27 ,0 ,6 ,1 ,2 ,4 ,0 ,1 ,1 ,4 ,4 
1101054,종로구,삼청동,02,20,60 ,27 ,2 ,2 ,2 ,2 ,0 ,3 ,2 ,0 ,0 ,5 
1101054,종로구,삼청동,02,25,105 ,51 ,5 ,2 ,3 ,5 ,0 ,4 ,2 ,8 ,5 ,0 
1101054,종로구,삼청동,02,30,97 ,44 ,8 ,9 ,0 ,8 ,9 ,3 ,10 ,4 ,4 ,9 
1101054,종로구,삼청동,02,35,124 ,45 ,4 ,11 ,0 ,6 ,0 ,4 ,4 ,2 ,2 ,0 
1101054,종로구,삼청동,02,40,100 ,31 ,1 ,3 ,2 ,3 ,3 ,2 ,2 ,1 ,3 ,0 
1101054,종로구,삼청동,02,45,116 ,35 ,1 ,2 ,5 ,3 ,0 ,1 ,1 ,2 ,0 ,0 
1101054,종로구,삼청동,02,50,144 ,29 ,3 ,2 ,0 ,2 ,0 ,1 ,1 ,2 ,4 ,5 
1101054,종로구,삼청동,02,55,146 ,29 ,4 ,6 ,1 ,4 ,5 ,1 ,5 ,3 ,1 ,0 
1101054,종로구,삼청동,02,60,122 ,26 ,1 ,4 ,1 ,4 ,4 ,0 ,3 ,1 ,1 ,4 
1101054,종로구,삼청동,02,65,86 ,22 ,0 ,3 ,2 ,1 ,0 ,0 ,0 ,1 ,3 ,0 
1101054,종로구,삼청동,02,70,84 ,20 ,2 ,1 ,0 ,4 ,0 ,0 ,2 ,1 ,2 ,0 
1101054,종로구,삼청동,02,75,158 ,54 ,7 ,12 ,2 ,7 ,13 ,0 ,9 ,2 ,2 ,10 
1101055,종로구,부암동,01,20,618 ,110 ,10 ,8 ,11 ,13 ,5 ,12 ,20 ,7 ,7 ,15 
1101055,종로구,부암동,01,25,400 ,68 ,6 ,5 ,5 ,8 ,4 ,12 ,6 ,7 ,6 ,4 
1101055,종로구,부암동,01,30,348 ,86 ,9 ,10 ,9 ,6 ,17 ,19 ,6 ,8 ,7 ,20 
1101055,종로구,부암동,01,35,316 ,83 ,10 ,8 ,5 ,7 ,16 ,12 ,8 ,8 ,6 ,12 
1101055,종로구,부암동,01,40,434 ,59 ,10 ,7 ,3 ,7 ,17 ,10 ,8 ,3 ,4 ,20 
1101055,종로구,부암동,01,45,422 ,45 ,6 ,5 ,4 ,4 ,14 ,9 ,4 ,3 ,2 ,13 
1101055,종로구,부암동,01,50,431 ,39 ,5 ,3 ,2 ,2 ,14 ,5 ,4 ,3 ,5 ,11 
1101055,종로구,부암동,01,55,402 ,36 ,5 ,2 ,3 ,2 ,10 ,4 ,2 ,3 ,4 ,10 
1101055,종로구,부암동,01,60,295 ,33 ,4 ,3 ,2 ,2 ,10 ,3 ,2 ,2 ,2 ,7 
1101055,종로구,부암동,01,65,215 ,47 ,3 ,3 ,7 ,4 ,13 ,1 ,4 ,0 ,6 ,13 
1101055,종로구,부암동,01,70,159 ,38 ,5 ,4 ,1 ,3 ,7 ,0 ,3 ,1 ,2 ,5 
1101055,종로구,부암동,01,75,303 ,76 ,4 ,6 ,8 ,4 ,10 ,2 ,5 ,1 ,4 ,5 
1101055,종로구,부암동,02,20,552 ,94 ,11 ,2 ,5 ,4 ,0 ,16 ,4 ,9 ,4 ,0 
