행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체),,,,,,,,,,,
1101054,종로구,삼청동,01,70,76 ,19 ,3 ,4 ,0 ,4 ,3 ,0 ,3 ,1 ,1 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,01,75,71 ,23 ,0 ,3 ,2 ,1 ,5 ,0 ,0 ,0 ,0 ,3 ,,,,,,,,,,,
1101054,종로구,삼청동,02,20,60 ,31 ,3 ,2 ,5 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,02,25,92 ,44 ,2 ,4 ,4 ,2 ,0 ,2 ,0 ,6 ,4 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,02,30,93 ,43 ,3 ,5 ,3 ,5 ,4 ,4 ,7 ,5 ,3 ,7 ,,,,,,,,,,,
1101054,종로구,삼청동,02,35,112 ,51 ,8 ,5 ,4 ,0 ,0 ,5 ,6 ,2 ,4 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,02,40,97 ,30 ,1 ,4 ,2 ,4 ,3 ,1 ,3 ,1 ,4 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,02,45,116 ,36 ,2 ,5 ,2 ,3 ,0 ,1 ,3 ,3 ,3 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,02,50,132 ,36 ,5 ,4 ,1 ,4 ,4 ,1 ,2 ,4 ,5 ,4 ,,,,,,,,,,,
1101054,종로구,삼청동,02,55,142 ,41 ,5 ,9 ,3 ,6 ,0 ,1 ,8 ,4 ,3 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,02,60,113 ,33 ,2 ,9 ,1 ,8 ,0 ,0 ,6 ,2 ,2 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,02,65,86 ,23 ,1 ,1 ,2 ,3 ,0 ,0 ,1 ,2 ,5 ,0 ,,,,,,,,,,,
1101054,종로구,삼청동,02,70,73 ,20 ,4 ,6 ,0 ,5 ,0 ,0 ,3 ,3 ,1 ,3 ,,,,,,,,,,,
1101054,종로구,삼청동,02,75,149 ,58 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,,,,,,,,,,,
1101055,종로구,부암동,01,20,599 ,101 ,17 ,10 ,16 ,13 ,29 ,13 ,21 ,8 ,5 ,14 ,,,,,,,,,,,
1101055,종로구,부암동,01,25,393 ,70 ,8 ,5 ,3 ,5 ,7 ,13 ,8 ,9 ,9 ,11 ,,,,,,,,,,,
1101055,종로구,부암동,01,30,348 ,95 ,10 ,8 ,9 ,6 ,6 ,22 ,6 ,7 ,5 ,8 ,,,,,,,,,,,
1101055,종로구,부암동,01,35,316 ,78 ,14 ,7 ,5 ,9 ,13 ,16 ,11 ,7 ,5 ,5 ,,,,,,,,,,,
1101055,종로구,부암동,01,40,434 ,55 ,8 ,4 ,6 ,4 ,13 ,10 ,5 ,3 ,6 ,15 ,,,,,,,,,,,
1101055,종로구,부암동,01,45,422 ,51 ,8 ,4 ,4 ,3 ,8 ,9 ,4 ,4 ,4 ,8 ,,,,,,,,,,,
1101055,종로구,부암동,01,50,431 ,40 ,5 ,1 ,3 ,2 ,14 ,5 ,3 ,3 ,6 ,4 ,,,,,,,,,,,
1101055,종로구,부암동,01,55,394 ,37 ,3 ,1 ,2 ,1 ,7 ,5 ,2 ,3 ,4 ,10 ,,,,,,,,,,,
1101055,종로구,부암동,01,60,293 ,33 ,4 ,2 ,3 ,2 ,8 ,3 ,3 ,4 ,2 ,5 ,,,,,,,,,,,
1101055,종로구,부암동,01,65,215 ,46 ,2 ,2 ,6 ,4 ,8 ,1 ,3 ,0 ,7 ,6 ,,,,,,,,,,,
1101055,종로구,부암동,01,70,177 ,42 ,6 ,3 ,1 ,2 ,6 ,1 ,3 ,0 ,4 ,4 ,,,,,,,,,,,
1101055,종로구,부암동,01,75,278 ,70 ,1 ,0 ,3 ,0 ,2 ,1 ,1 ,1 ,3 ,2 ,,,,,,,,,,,
1101055,종로구,부암동,02,20,548 ,108 ,13 ,4 ,5 ,4 ,10 ,15 ,4 ,7 ,3 ,10 ,,,,,,,,,,,
1101055,종로구,부암동,02,25,448 ,82 ,7 ,8 ,4 ,4 ,5 ,14 ,7 ,13 ,7 ,10 ,,,,,,,,,,,
1101055,종로구,부암동,02,30,363 ,91 ,5 ,5 ,4 ,3 ,0 ,17 ,5 ,9 ,4 ,3 ,,,,,,,,,,,
1101055,종로구,부암동,02,35,336 ,78 ,5 ,6 ,3 ,4 ,2 ,9 ,4 ,6 ,5 ,2 ,,,,,,,,,,,
1101055,종로구,부암동,02,40,465 ,54 ,3 ,3 ,4 ,2 ,3 ,8 ,3 ,6 ,2 ,2 ,,,,,,,,,,,
1101055,종로구,부암동,02,45,543 ,66 ,5 ,7 ,4 ,4 ,6 ,7 ,5 ,6 ,2 ,6 ,,,,,,,,,,,
1101055,종로구,부암동,02,50,482 ,48 ,5 ,5 ,1 ,2 ,0 ,4 ,3 ,4 ,6 ,0 ,,,,,,,,,,,
1101055,종로구,부암동,02,55,441 ,46 ,3 ,3 ,2 ,1 ,4 ,3 ,2 ,3 ,4 ,2 ,,,,,,,,,,,
1101055,종로구,부암동,02,60,318 ,35 ,2 ,4 ,2 ,4 ,6 ,2 ,3 ,4 ,1 ,12 ,,,,,,,,,,,
1101055,종로구,부암동,02,65,266 ,70 ,4 ,2 ,3 ,1 ,2 ,1 ,2 ,5 ,6 ,0 ,,,,,,,,,,,
1101055,종로구,부암동,02,70,208 ,52 ,7 ,3 ,0 ,2 ,2 ,0 ,3 ,2 ,2 ,2 ,,,,,,,,,,,
1101055,종로구,부암동,02,75,399 ,119 ,1 ,2 ,3 ,2 ,7 ,1 ,1 ,2 ,8 ,0 ,,,,,,,,,,,
1101056,종로구,평창동,01,20,663 ,69 ,10 ,2 ,7 ,3 ,4 ,16 ,7 ,7 ,5 ,12 ,,,,,,,,,,,
1101056,종로구,평창동,01,25,616 ,64 ,7 ,4 ,3 ,5 ,0 ,21 ,7 ,12 ,6 ,14 ,,,,,,,,,,,
1101056,종로구,평창동,01,30,569 ,77 ,9 ,4 ,9 ,4 ,6 ,45 ,5 ,13 ,6 ,9 ,,,,,,,,,,,
1101056,종로구,평창동,01,35,488 ,56 ,9 ,4 ,4 ,2 ,11 ,31 ,5 ,6 ,3 ,9 ,,,,,,,,,,,
1101056,종로구,평창동,01,40,674 ,52 ,7 ,3 ,3 ,3 ,5 ,18 ,4 ,4 ,5 ,5 ,,,,,,,,,,,
1101056,종로구,평창동,01,45,734 ,56 ,9 ,2 ,3 ,2 ,11 ,19 ,5 ,5 ,4 ,17 ,,,,,,,,,,,
1101056,종로구,평창동,01,50,843 ,57 ,6 ,2 ,2 ,2 ,16 ,11 ,3 ,4 ,7 ,8 ,,,,,,,,,,,
