행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체),,,,,,,,,,,
1101053,종로구,사직동,01,20,222 ,57 ,8 ,6 ,7 ,5 ,2 ,5 ,5 ,2 ,5 ,0 ,,,,,,,,,,,
1101053,종로구,사직동,01,25,321 ,109 ,12 ,12 ,10 ,9 ,2 ,10 ,9 ,14 ,14 ,7 ,,,,,,,,,,,
1101053,종로구,사직동,01,30,350 ,108 ,17 ,15 ,11 ,16 ,14 ,16 ,15 ,13 ,12 ,9 ,,,,,,,,,,,
1101053,종로구,사직동,01,35,353 ,105 ,20 ,13 ,6 ,13 ,13 ,13 ,18 ,9 ,10 ,23 ,,,,,,,,,,,
1101053,종로구,사직동,01,40,421 ,80 ,14 ,7 ,11 ,8 ,13 ,11 ,10 ,5 ,9 ,13 ,,,,,,,,,,,
1101053,종로구,사직동,01,45,352 ,76 ,13 ,9 ,5 ,9 ,8 ,8 ,10 ,7 ,6 ,10 ,,,,,,,,,,,
1101053,종로구,사직동,01,50,324 ,46 ,7 ,4 ,5 ,5 ,12 ,3 ,6 ,3 ,6 ,12 ,,,,,,,,,,,
1101053,종로구,사직동,01,55,351 ,48 ,7 ,3 ,3 ,4 ,10 ,3 ,5 ,6 ,4 ,8 ,,,,,,,,,,,
1101053,종로구,사직동,01,60,245 ,42 ,4 ,3 ,5 ,3 ,4 ,2 ,3 ,4 ,1 ,5 ,,,,,,,,,,,
1101053,종로구,사직동,01,65,180 ,31 ,2 ,1 ,6 ,2 ,5 ,1 ,1 ,1 ,4 ,4 ,,,,,,,,,,,
1101053,종로구,사직동,01,70,181 ,28 ,3 ,2 ,1 ,2 ,3 ,0 ,2 ,1 ,2 ,6 ,,,,,,,,,,,
1101053,종로구,사직동,01,75,283 ,82 ,8 ,7 ,8 ,7 ,4 ,1 ,8 ,2 ,10 ,9 ,,,,,,,,,,,
1101053,종로구,사직동,02,20,362 ,120 ,15 ,12 ,10 ,13 ,5 ,7 ,9 ,3 ,2 ,11 ,,,,,,,,,,,
1101053,종로구,사직동,02,25,365 ,129 ,8 ,11 ,10 ,14 ,9 ,13 ,6 ,10 ,12 ,6 ,,,,,,,,,,,
1101053,종로구,사직동,02,30,428 ,139 ,14 ,14 ,10 ,14 ,6 ,17 ,13 ,11 ,7 ,10 ,,,,,,,,,,,
1101053,종로구,사직동,02,35,404 ,117 ,9 ,12 ,5 ,13 ,5 ,13 ,8 ,9 ,6 ,5 ,,,,,,,,,,,
1101053,종로구,사직동,02,40,412 ,88 ,7 ,9 ,4 ,9 ,3 ,6 ,7 ,10 ,9 ,4 ,,,,,,,,,,,
1101053,종로구,사직동,02,45,420 ,99 ,9 ,20 ,6 ,13 ,17 ,6 ,13 ,12 ,5 ,11 ,,,,,,,,,,,
1101053,종로구,사직동,02,50,389 ,62 ,5 ,7 ,4 ,6 ,9 ,3 ,6 ,4 ,6 ,7 ,,,,,,,,,,,
1101053,종로구,사직동,02,55,378 ,56 ,4 ,6 ,3 ,5 ,3 ,2 ,5 ,4 ,3 ,6 ,,,,,,,,,,,
1101053,종로구,사직동,02,60,288 ,55 ,3 ,9 ,5 ,7 ,4 ,1 ,6 ,8 ,3 ,8 ,,,,,,,,,,,
1101053,종로구,사직동,02,65,247 ,51 ,4 ,6 ,3 ,4 ,5 ,1 ,4 ,4 ,7 ,6 ,,,,,,,,,,,
1101053,종로구,사직동,02,70,228 ,49 ,6 ,7 ,0 ,8 ,8 ,0 ,6 ,7 ,2 ,14 ,,,,,,,,,,,
1101053,종로구,사직동,02,75,350 ,118 ,13 ,13 ,6 ,19 ,14 ,0 ,16 ,12 ,13 ,11 ,,,,,,,,,,,
1101054,종로구,삼청동,01,20,83 ,39 ,4 ,20 ,11 ,16 ,7 ,1 ,18 ,2 ,4 ,1 ,,,,,,,,,,,
1101054,종로구,삼청동,01,25,80 ,37 ,6 ,9 ,0 ,3 ,3 ,3 ,5 ,1 ,3 ,0 ,,,,,,,,,,,
